{'total_loss': 529.7691, 'time_loss': 136.21027, 'mark_loss': 393.55884, 'iter': 0}
{'total_loss': 525.80408, 'time_loss': 136.19482, 'mark_loss': 389.60925, 'iter': 1}
{'total_loss': 522.66992, 'time_loss': 136.01617, 'mark_loss': 386.65375, 'iter': 2}
{'total_loss': 520.06152, 'time_loss': 135.72308, 'mark_loss': 384.33844, 'iter': 3}
{'total_loss': 517.66113, 'time_loss': 135.79169, 'mark_loss': 381.86945, 'iter': 4}
{'total_loss': 515.84668, 'time_loss': 135.93738, 'mark_loss': 379.9093, 'iter': 5}
{'total_loss': 513.59015, 'time_loss': 135.69873, 'mark_loss': 377.89142, 'iter': 6}
{'total_loss': 513.2373, 'time_loss': 135.82312, 'mark_loss': 377.41418, 'iter': 7}
{'total_loss': 511.46466, 'time_loss': 135.67993, 'mark_loss': 375.78473, 'iter': 8}
{'total_loss': 508.03735, 'time_loss': 135.30301, 'mark_loss': 372.73434, 'iter': 9}
{'total_loss': 506.33395, 'time_loss': 135.26273, 'mark_loss': 371.07123, 'iter': 10}
{'total_loss': 505.36237, 'time_loss': 134.90311, 'mark_loss': 370.45926, 'iter': 11}
{'total_loss': 502.8118, 'time_loss': 134.85709, 'mark_loss': 367.95471, 'iter': 12}
{'total_loss': 502.9418, 'time_loss': 135.20944, 'mark_loss': 367.73236, 'iter': 13}
{'total_loss': 501.42673, 'time_loss': 135.30679, 'mark_loss': 366.11993, 'iter': 14}
{'total_loss': 498.05737, 'time_loss': 134.64853, 'mark_loss': 363.40884, 'iter': 15}
{'total_loss': 496.75064, 'time_loss': 134.76523, 'mark_loss': 361.98541, 'iter': 16}
{'total_loss': 495.88495, 'time_loss': 134.46112, 'mark_loss': 361.42383, 'iter': 17}
{'total_loss': 493.59772, 'time_loss': 134.36127, 'mark_loss': 359.23645, 'iter': 18}
{'total_loss': 492.14786, 'time_loss': 134.42569, 'mark_loss': 357.72217, 'iter': 19}
{'total_loss': 490.3479, 'time_loss': 134.04791, 'mark_loss': 356.29999, 'iter': 20}
{'total_loss': 488.89478, 'time_loss': 133.98889, 'mark_loss': 354.90588, 'iter': 21}
{'total_loss': 487.8725, 'time_loss': 134.2536, 'mark_loss': 353.6189, 'iter': 22}
{'total_loss': 486.15262, 'time_loss': 134.01733, 'mark_loss': 352.13528, 'iter': 23}
{'total_loss': 484.72791, 'time_loss': 133.88495, 'mark_loss': 350.84296, 'iter': 24}
{'total_loss': 483.13022, 'time_loss': 133.64984, 'mark_loss': 349.48038, 'iter': 25}
{'total_loss': 482.88733, 'time_loss': 133.97552, 'mark_loss': 348.9118, 'iter': 26}
{'total_loss': 480.35983, 'time_loss': 133.61102, 'mark_loss': 346.74881, 'iter': 27}
{'total_loss': 479.03119, 'time_loss': 133.60361, 'mark_loss': 345.42758, 'iter': 28}
{'total_loss': 479.24759, 'time_loss': 133.93411, 'mark_loss': 345.31348, 'iter': 29}
{'total_loss': 476.30496, 'time_loss': 133.42056, 'mark_loss': 342.8844, 'iter': 30}
{'total_loss': 474.9599, 'time_loss': 133.4422, 'mark_loss': 341.5177, 'iter': 31}
{'total_loss': 473.51239, 'time_loss': 133.34583, 'mark_loss': 340.16656, 'iter': 32}
{'total_loss': 472.16525, 'time_loss': 133.34012, 'mark_loss': 338.82513, 'iter': 33}
{'total_loss': 470.81372, 'time_loss': 133.24649, 'mark_loss': 337.56723, 'iter': 34}
{'total_loss': 471.16241, 'time_loss': 133.74316, 'mark_loss': 337.41925, 'iter': 35}
{'total_loss': 467.90836, 'time_loss': 132.93039, 'mark_loss': 334.97797, 'iter': 36}
{'total_loss': 466.46524, 'time_loss': 132.82199, 'mark_loss': 333.64325, 'iter': 37}
{'total_loss': 465.25104, 'time_loss': 132.85858, 'mark_loss': 332.39246, 'iter': 38}
{'total_loss': 463.91116, 'time_loss': 132.82938, 'mark_loss': 331.08179, 'iter': 39}
{'total_loss': 462.4718, 'time_loss': 132.77686, 'mark_loss': 329.69495, 'iter': 40}
{'total_loss': 460.87372, 'time_loss': 132.39359, 'mark_loss': 328.48013, 'iter': 41}
{'total_loss': 459.68964, 'time_loss': 132.37711, 'mark_loss': 327.31253, 'iter': 42}
{'total_loss': 458.22424, 'time_loss': 132.28754, 'mark_loss': 325.93671, 'iter': 43}
{'total_loss': 456.88162, 'time_loss': 132.23087, 'mark_loss': 324.65076, 'iter': 44}
{'total_loss': 455.90927, 'time_loss': 132.51505, 'mark_loss': 323.39423, 'iter': 45}
{'total_loss': 454.03619, 'time_loss': 131.89655, 'mark_loss': 322.13965, 'iter': 46}
{'total_loss': 452.81387, 'time_loss': 131.89893, 'mark_loss': 320.91495, 'iter': 47}
{'total_loss': 451.70395, 'time_loss': 132.03165, 'mark_loss': 319.6723, 'iter': 48}
{'total_loss': 450.27011, 'time_loss': 131.88953, 'mark_loss': 318.38058, 'iter': 49}
{'total_loss': 449.04477, 'time_loss': 131.8483, 'mark_loss': 317.19647, 'iter': 50}
{'total_loss': 447.83545, 'time_loss': 131.90295, 'mark_loss': 315.9325, 'iter': 51}
{'total_loss': 446.17682, 'time_loss': 131.50427, 'mark_loss': 314.67255, 'iter': 52}
{'total_loss': 444.9339, 'time_loss': 131.53256, 'mark_loss': 313.40134, 'iter': 53}
{'total_loss': 443.57935, 'time_loss': 131.40555, 'mark_loss': 312.1738, 'iter': 54}
{'total_loss': 442.19012, 'time_loss': 131.2887, 'mark_loss': 310.90143, 'iter': 55}
{'total_loss': 441.29016, 'time_loss': 131.05386, 'mark_loss': 310.2363, 'iter': 56}
{'total_loss': 439.74948, 'time_loss': 131.29391, 'mark_loss': 308.45557, 'iter': 57}
{'total_loss': 438.46548, 'time_loss': 131.18201, 'mark_loss': 307.28348, 'iter': 58}
{'total_loss': 437.09009, 'time_loss': 131.13199, 'mark_loss': 305.9581, 'iter': 59}
{'total_loss': 435.90735, 'time_loss': 131.09439, 'mark_loss': 304.81296, 'iter': 60}
{'total_loss': 434.30188, 'time_loss': 130.73535, 'mark_loss': 303.56653, 'iter': 61}
{'total_loss': 433.31863, 'time_loss': 130.94626, 'mark_loss': 302.37238, 'iter': 62}
{'total_loss': 431.92383, 'time_loss': 130.81439, 'mark_loss': 301.10944, 'iter': 63}
{'total_loss': 430.5715, 'time_loss': 130.69034, 'mark_loss': 299.88116, 'iter': 64}
{'total_loss': 429.16089, 'time_loss': 130.48462, 'mark_loss': 298.67627, 'iter': 65}
{'total_loss': 427.54889, 'time_loss': 130.27811, 'mark_loss': 297.27078, 'iter': 66}
{'total_loss': 426.7449, 'time_loss': 130.45013, 'mark_loss': 296.29477, 'iter': 67}
{'total_loss': 425.36261, 'time_loss': 130.33173, 'mark_loss': 295.03088, 'iter': 68}
{'total_loss': 423.94766, 'time_loss': 130.03546, 'mark_loss': 293.9122, 'iter': 69}
{'total_loss': 423.06802, 'time_loss': 130.46091, 'mark_loss': 292.60712, 'iter': 70}
{'total_loss': 423.10712, 'time_loss': 130.62125, 'mark_loss': 292.48587, 'iter': 71}
{'total_loss': 421.9303, 'time_loss': 130.63837, 'mark_loss': 291.29193, 'iter': 72}
{'total_loss': 419.20538, 'time_loss': 130.17789, 'mark_loss': 289.0275, 'iter': 73}
{'total_loss': 417.35114, 'time_loss': 129.73846, 'mark_loss': 287.61267, 'iter': 74}
{'total_loss': 416.74002, 'time_loss': 130.07297, 'mark_loss': 286.66705, 'iter': 75}
{'total_loss': 415.24173, 'time_loss': 129.83951, 'mark_loss': 285.40222, 'iter': 76}
{'total_loss': 413.89709, 'time_loss': 129.64005, 'mark_loss': 284.25705, 'iter': 77}
{'total_loss': 412.87689, 'time_loss': 129.82416, 'mark_loss': 283.05273, 'iter': 78}
{'total_loss': 411.46027, 'time_loss': 129.59906, 'mark_loss': 281.86121, 'iter': 79}
{'total_loss': 410.02002, 'time_loss': 129.36584, 'mark_loss': 280.65417, 'iter': 80}
{'total_loss': 409.57462, 'time_loss': 129.51453, 'mark_loss': 280.06009, 'iter': 81}
{'total_loss': 407.71008, 'time_loss': 129.38599, 'mark_loss': 278.3241, 'iter': 82}
{'total_loss': 406.39679, 'time_loss': 129.26984, 'mark_loss': 277.12695, 'iter': 83}
{'total_loss': 405.09378, 'time_loss': 129.16754, 'mark_loss': 275.92624, 'iter': 84}
{'total_loss': 403.9621, 'time_loss': 129.23596, 'mark_loss': 274.72614, 'iter': 85}
{'total_loss': 402.8074, 'time_loss': 129.25375, 'mark_loss': 273.55365, 'iter': 86}
{'total_loss': 401.49237, 'time_loss': 129.04102, 'mark_loss': 272.45135, 'iter': 87}
{'total_loss': 400.21948, 'time_loss': 129.00311, 'mark_loss': 271.21637, 'iter': 88}
{'total_loss': 398.91125, 'time_loss': 128.83688, 'mark_loss': 270.07437, 'iter': 89}
{'total_loss': 397.24258, 'time_loss': 128.73267, 'mark_loss': 268.50992, 'iter': 90}
{'total_loss': 396.47974, 'time_loss': 128.77176, 'mark_loss': 267.70798, 'iter': 91}
{'total_loss': 396.54456, 'time_loss': 129.039, 'mark_loss': 267.50555, 'iter': 92}
{'total_loss': 394.43121, 'time_loss': 128.55237, 'mark_loss': 265.87885, 'iter': 93}
{'total_loss': 392.69534, 'time_loss': 128.51053, 'mark_loss': 264.18481, 'iter': 94}
{'total_loss': 391.80627, 'time_loss': 128.26239, 'mark_loss': 263.54388, 'iter': 95}
{'total_loss': 390.02112, 'time_loss': 128.49408, 'mark_loss': 261.52704, 'iter': 96}
{'total_loss': 389.76746, 'time_loss': 128.50092, 'mark_loss': 261.26654, 'iter': 97}
{'total_loss': 387.93738, 'time_loss': 128.39569, 'mark_loss': 259.54169, 'iter': 98}
{'total_loss': 386.67557, 'time_loss': 128.24539, 'mark_loss': 258.43018, 'iter': 99}
{'total_loss': 385.43591, 'time_loss': 128.28568, 'mark_loss': 257.15024, 'iter': 100}
{'total_loss': 384.22284, 'time_loss': 128.14331, 'mark_loss': 256.07953, 'iter': 101}
{'total_loss': 382.52808, 'time_loss': 128.08646, 'mark_loss': 254.44162, 'iter': 102}
{'total_loss': 383.0665, 'time_loss': 128.41064, 'mark_loss': 254.65585, 'iter': 103}
{'total_loss': 380.58868, 'time_loss': 128.03122, 'mark_loss': 252.55746, 'iter': 104}
{'total_loss': 379.57385, 'time_loss': 128.07883, 'mark_loss': 251.49503, 'iter': 105}
{'total_loss': 377.5426, 'time_loss': 127.67998, 'mark_loss': 249.86263, 'iter': 106}
{'total_loss': 376.86954, 'time_loss': 127.73265, 'mark_loss': 249.13689, 'iter': 107}
{'total_loss': 375.11304, 'time_loss': 127.48817, 'mark_loss': 247.62486, 'iter': 108}
{'total_loss': 374.55042, 'time_loss': 127.6568, 'mark_loss': 246.89362, 'iter': 109}
{'total_loss': 373.29938, 'time_loss': 127.57654, 'mark_loss': 245.72284, 'iter': 110}
{'total_loss': 371.85355, 'time_loss': 127.27888, 'mark_loss': 244.57466, 'iter': 111}
{'total_loss': 370.76474, 'time_loss': 127.28409, 'mark_loss': 243.48065, 'iter': 112}
{'total_loss': 369.64801, 'time_loss': 127.3299, 'mark_loss': 242.31812, 'iter': 113}
{'total_loss': 368.37903, 'time_loss': 127.22299, 'mark_loss': 241.15604, 'iter': 114}
{'total_loss': 367.255, 'time_loss': 127.25714, 'mark_loss': 239.99786, 'iter': 115}
{'total_loss': 365.83264, 'time_loss': 127.01877, 'mark_loss': 238.81387, 'iter': 116}
{'total_loss': 365.00867, 'time_loss': 127.23589, 'mark_loss': 237.77278, 'iter': 117}
{'total_loss': 364.7746, 'time_loss': 127.3322, 'mark_loss': 237.4424, 'iter': 118}
{'total_loss': 362.56262, 'time_loss': 126.98849, 'mark_loss': 235.57413, 'iter': 119}
{'total_loss': 361.28986, 'time_loss': 126.97083, 'mark_loss': 234.31903, 'iter': 120}
{'total_loss': 359.6828, 'time_loss': 126.98813, 'mark_loss': 232.69467, 'iter': 121}
{'total_loss': 358.23737, 'time_loss': 126.7084, 'mark_loss': 231.52896, 'iter': 122}
{'total_loss': 357.66095, 'time_loss': 126.79434, 'mark_loss': 230.86661, 'iter': 123}
{'total_loss': 356.68317, 'time_loss': 126.92665, 'mark_loss': 229.75652, 'iter': 124}
{'total_loss': 355.65884, 'time_loss': 126.65837, 'mark_loss': 229.00047, 'iter': 125}
{'total_loss': 354.18347, 'time_loss': 126.65746, 'mark_loss': 227.52602, 'iter': 126}
{'total_loss': 352.87061, 'time_loss': 126.47441, 'mark_loss': 226.39619, 'iter': 127}
{'total_loss': 351.85217, 'time_loss': 126.62276, 'mark_loss': 225.22942, 'iter': 128}
{'total_loss': 350.52625, 'time_loss': 126.3524, 'mark_loss': 224.17384, 'iter': 129}
{'total_loss': 349.39014, 'time_loss': 126.37967, 'mark_loss': 223.01047, 'iter': 130}
{'total_loss': 348.36932, 'time_loss': 126.44438, 'mark_loss': 221.92494, 'iter': 131}
{'total_loss': 346.37653, 'time_loss': 126.12991, 'mark_loss': 220.24661, 'iter': 132}
{'total_loss': 346.09888, 'time_loss': 126.13657, 'mark_loss': 219.96231, 'iter': 133}
{'total_loss': 344.60922, 'time_loss': 126.01813, 'mark_loss': 218.59109, 'iter': 134}
{'total_loss': 343.32397, 'time_loss': 125.92401, 'mark_loss': 217.39996, 'iter': 135}
{'total_loss': 342.77643, 'time_loss': 126.11169, 'mark_loss': 216.66473, 'iter': 136}
{'total_loss': 341.30954, 'time_loss': 126.08215, 'mark_loss': 215.22739, 'iter': 137}
{'total_loss': 340.26917, 'time_loss': 126.14183, 'mark_loss': 214.12733, 'iter': 138}
{'total_loss': 338.88263, 'time_loss': 125.92474, 'mark_loss': 212.95789, 'iter': 139}
{'total_loss': 337.21866, 'time_loss': 125.97108, 'mark_loss': 211.24757, 'iter': 140}
{'total_loss': 336.70099, 'time_loss': 125.88391, 'mark_loss': 210.81708, 'iter': 141}
{'total_loss': 335.53326, 'time_loss': 125.77307, 'mark_loss': 209.76019, 'iter': 142}
{'total_loss': 334.15692, 'time_loss': 125.561, 'mark_loss': 208.59592, 'iter': 143}
{'total_loss': 333.24088, 'time_loss': 125.7538, 'mark_loss': 207.48708, 'iter': 144}
{'total_loss': 331.98163, 'time_loss': 125.63635, 'mark_loss': 206.34528, 'iter': 145}
{'total_loss': 330.73615, 'time_loss': 125.49121, 'mark_loss': 205.24493, 'iter': 146}
{'total_loss': 329.66373, 'time_loss': 125.50787, 'mark_loss': 204.15585, 'iter': 147}
{'total_loss': 328.26456, 'time_loss': 125.77744, 'mark_loss': 202.48712, 'iter': 148}
{'total_loss': 327.49615, 'time_loss': 125.50925, 'mark_loss': 201.98691, 'iter': 149}
{'total_loss': 327.42786, 'time_loss': 125.8735, 'mark_loss': 201.55435, 'iter': 150}
{'total_loss': 324.91083, 'time_loss': 125.11554, 'mark_loss': 199.79529, 'iter': 151}
{'total_loss': 325.73071, 'time_loss': 125.97849, 'mark_loss': 199.75223, 'iter': 152}
{'total_loss': 322.46289, 'time_loss': 125.38303, 'mark_loss': 197.07986, 'iter': 153}
{'total_loss': 321.19153, 'time_loss': 125.20798, 'mark_loss': 195.98355, 'iter': 154}
{'total_loss': 320.63434, 'time_loss': 125.08998, 'mark_loss': 195.54436, 'iter': 155}
{'total_loss': 319.39087, 'time_loss': 125.03714, 'mark_loss': 194.35373, 'iter': 156}
{'total_loss': 318.72388, 'time_loss': 125.32935, 'mark_loss': 193.39453, 'iter': 157}
{'total_loss': 317.06979, 'time_loss': 124.91054, 'mark_loss': 192.15926, 'iter': 158}
{'total_loss': 316.24957, 'time_loss': 125.0463, 'mark_loss': 191.20328, 'iter': 159}
{'total_loss': 315.01984, 'time_loss': 124.99446, 'mark_loss': 190.02538, 'iter': 160}
{'total_loss': 313.66083, 'time_loss': 124.59009, 'mark_loss': 189.07074, 'iter': 161}
{'total_loss': 313.8826, 'time_loss': 125.3237, 'mark_loss': 188.5589, 'iter': 162}
{'total_loss': 310.88861, 'time_loss': 124.76828, 'mark_loss': 186.12033, 'iter': 163}
{'total_loss': 310.64191, 'time_loss': 124.80777, 'mark_loss': 185.83414, 'iter': 164}
{'total_loss': 309.1618, 'time_loss': 124.66415, 'mark_loss': 184.49765, 'iter': 165}
{'total_loss': 308.30243, 'time_loss': 124.54785, 'mark_loss': 183.75458, 'iter': 166}
{'total_loss': 307.21265, 'time_loss': 124.53555, 'mark_loss': 182.67709, 'iter': 167}
{'total_loss': 307.51843, 'time_loss': 125.25021, 'mark_loss': 182.26822, 'iter': 168}
{'total_loss': 304.9538, 'time_loss': 124.40588, 'mark_loss': 180.54791, 'iter': 169}
{'total_loss': 303.89844, 'time_loss': 124.2334, 'mark_loss': 179.66504, 'iter': 170}
{'total_loss': 302.26666, 'time_loss': 124.37401, 'mark_loss': 177.89265, 'iter': 171}
{'total_loss': 301.05991, 'time_loss': 124.31766, 'mark_loss': 176.74225, 'iter': 172}
{'total_loss': 300.81592, 'time_loss': 124.42151, 'mark_loss': 176.39441, 'iter': 173}
{'total_loss': 299.41876, 'time_loss': 124.01073, 'mark_loss': 175.40804, 'iter': 174}
{'total_loss': 298.80054, 'time_loss': 124.20607, 'mark_loss': 174.59447, 'iter': 175}
{'total_loss': 298.65961, 'time_loss': 124.73779, 'mark_loss': 173.92181, 'iter': 176}
{'total_loss': 296.36496, 'time_loss': 123.95389, 'mark_loss': 172.41107, 'iter': 177}
{'total_loss': 295.50412, 'time_loss': 124.12607, 'mark_loss': 171.37805, 'iter': 178}
{'total_loss': 294.10443, 'time_loss': 124.30016, 'mark_loss': 169.80428, 'iter': 179}
{'total_loss': 293.37137, 'time_loss': 124.00107, 'mark_loss': 169.3703, 'iter': 180}
{'total_loss': 292.33521, 'time_loss': 123.97969, 'mark_loss': 168.35551, 'iter': 181}
{'total_loss': 291.3143, 'time_loss': 124.02982, 'mark_loss': 167.28448, 'iter': 182}
{'total_loss': 290.50598, 'time_loss': 124.14426, 'mark_loss': 166.36172, 'iter': 183}
{'total_loss': 289.27509, 'time_loss': 123.9899, 'mark_loss': 165.28519, 'iter': 184}
{'total_loss': 288.10168, 'time_loss': 123.97476, 'mark_loss': 164.12692, 'iter': 185}
{'total_loss': 286.99579, 'time_loss': 123.70248, 'mark_loss': 163.2933, 'iter': 186}
{'total_loss': 285.87665, 'time_loss': 123.55548, 'mark_loss': 162.32117, 'iter': 187}
{'total_loss': 284.99173, 'time_loss': 123.74867, 'mark_loss': 161.24306, 'iter': 188}
{'total_loss': 285.13159, 'time_loss': 124.17986, 'mark_loss': 160.95174, 'iter': 189}
{'total_loss': 282.69049, 'time_loss': 123.47339, 'mark_loss': 159.2171, 'iter': 190}
{'total_loss': 281.79291, 'time_loss': 123.48062, 'mark_loss': 158.31229, 'iter': 191}
{'total_loss': 280.86542, 'time_loss': 123.2464, 'mark_loss': 157.61902, 'iter': 192}
{'total_loss': 280.19928, 'time_loss': 123.59224, 'mark_loss': 156.60704, 'iter': 193}
