{'total_loss': 1460.1462, 'time_loss': 1073.4636, 'mark_loss': 386.68262, 'iter': 0}
{'total_loss': 1455.452, 'time_loss': 1070.3429, 'mark_loss': 385.10913, 'iter': 1}
{'total_loss': 1449.397, 'time_loss': 1065.5443, 'mark_loss': 383.85263, 'iter': 2}
{'total_loss': 1448.3995, 'time_loss': 1065.5054, 'mark_loss': 382.8941, 'iter': 3}
{'total_loss': 1442.8086, 'time_loss': 1060.7341, 'mark_loss': 382.07446, 'iter': 4}
{'total_loss': 1445.5791, 'time_loss': 1063.3473, 'mark_loss': 382.23184, 'iter': 5}
{'total_loss': 1440.911, 'time_loss': 1059.363, 'mark_loss': 381.54791, 'iter': 6}
{'total_loss': 1436.6461, 'time_loss': 1056.8156, 'mark_loss': 379.83057, 'iter': 7}
{'total_loss': 1435.1794, 'time_loss': 1055.9579, 'mark_loss': 379.22159, 'iter': 8}
{'total_loss': 1432.8352, 'time_loss': 1054.4397, 'mark_loss': 378.39545, 'iter': 9}
{'total_loss': 1433.0818, 'time_loss': 1055.1736, 'mark_loss': 377.90823, 'iter': 10}
{'total_loss': 1430.7915, 'time_loss': 1052.6383, 'mark_loss': 378.1532, 'iter': 11}
{'total_loss': 1433.5754, 'time_loss': 1055.7603, 'mark_loss': 377.81512, 'iter': 12}
{'total_loss': 1423.7026, 'time_loss': 1047.8635, 'mark_loss': 375.83917, 'iter': 13}
{'total_loss': 1425.1892, 'time_loss': 1049.9705, 'mark_loss': 375.21878, 'iter': 14}
{'total_loss': 1426.7334, 'time_loss': 1050.7722, 'mark_loss': 375.96121, 'iter': 15}
{'total_loss': 1420.0002, 'time_loss': 1045.8396, 'mark_loss': 374.16058, 'iter': 16}
{'total_loss': 1419.4929, 'time_loss': 1046.0098, 'mark_loss': 373.48318, 'iter': 17}
{'total_loss': 1416.6917, 'time_loss': 1043.8535, 'mark_loss': 372.8382, 'iter': 18}
{'total_loss': 1411.6608, 'time_loss': 1039.4468, 'mark_loss': 372.21396, 'iter': 19}
{'total_loss': 1414.106, 'time_loss': 1041.1396, 'mark_loss': 372.96628, 'iter': 20}
{'total_loss': 1415.6605, 'time_loss': 1043.3225, 'mark_loss': 372.33807, 'iter': 21}
{'total_loss': 1408.7148, 'time_loss': 1037.9814, 'mark_loss': 370.73346, 'iter': 22}
{'total_loss': 1406.7412, 'time_loss': 1036.6987, 'mark_loss': 370.04254, 'iter': 23}
{'total_loss': 1405.4691, 'time_loss': 1036.085, 'mark_loss': 369.38416, 'iter': 24}
{'total_loss': 1401.7012, 'time_loss': 1032.9994, 'mark_loss': 368.70178, 'iter': 25}
{'total_loss': 1405.0222, 'time_loss': 1035.5439, 'mark_loss': 369.47833, 'iter': 26}
{'total_loss': 1406.873, 'time_loss': 1036.9745, 'mark_loss': 369.89859, 'iter': 27}
{'total_loss': 1400.3501, 'time_loss': 1031.9719, 'mark_loss': 368.37811, 'iter': 28}
{'total_loss': 1394.1516, 'time_loss': 1027.5776, 'mark_loss': 366.57391, 'iter': 29}
{'total_loss': 1394.8876, 'time_loss': 1028.8767, 'mark_loss': 366.0108, 'iter': 30}
{'total_loss': 1390.7795, 'time_loss': 1025.291, 'mark_loss': 365.48859, 'iter': 31}
{'total_loss': 1391.489, 'time_loss': 1026.4438, 'mark_loss': 365.04517, 'iter': 32}
{'total_loss': 1388.3823, 'time_loss': 1024.1508, 'mark_loss': 364.23157, 'iter': 33}
{'total_loss': 1388.2759, 'time_loss': 1024.5767, 'mark_loss': 363.69922, 'iter': 34}
